,degree,tol,poles,residuals
0,26,2.1824640733525413e-08,4590840.090410427,-4966856464.908177
1,26,2.1824640733525413e-08,-803921.9247509593,-604588075.5883398
2,26,2.1824640733525413e-08,-144265.3107363837,-21885679.481925793
3,26,2.1824640733525413e-08,-48634.487930028154,-3324086.8015078087
4,26,2.1824640733525413e-08,-19412.95685440065,-756902.3133646873
5,26,2.1824640733525413e-08,-8214.87720716557,-200769.4461969357
6,26,2.1824640733525413e-08,-3537.1045114170356,-56308.69720288089
7,26,2.1824640733525413e-08,-1522.3814517344492,-16004.493055263014
8,26,2.1824640733525413e-08,-649.5342456313053,-4519.839455306995
9,26,2.1824640733525413e-08,-273.5454261208589,-1256.0662757065184
10,26,2.1824640733525413e-08,-113.43088231679364,-341.71494580659925
11,26,2.1824640733525413e-08,-46.23428708318864,-90.717615853907
12,26,2.1824640733525413e-08,-18.49723243776993,-23.445588789724713
13,26,2.1824640733525413e-08,-7.253708424353228,-5.886398001821193
14,26,2.1824640733525413e-08,-2.7841762797344036,-1.4326136421505673
15,26,2.1824640733525413e-08,-1.0443142665543537,-0.3372133344475077
16,26,2.1824640733525413e-08,-0.38211883123044166,-0.07657304789760805
17,26,2.1824640733525413e-08,-0.13612336770116354,-0.01672645758134722
18,26,2.1824640733525413e-08,-0.04710223797962954,-0.0035033059668712046
19,26,2.1824640733525413e-08,-0.01578937369507867,-0.0007009242332745169
20,26,2.1824640733525413e-08,-0.005110810761533864,-0.00013337319051688485
21,26,2.1824640733525413e-08,-0.0015904423914374472,-2.4005967722722307e-05
22,26,2.1824640733525413e-08,-0.00047237441904487585,-4.0570665942223955e-06
23,26,2.1824640733525413e-08,-0.00013162896138003662,-6.354662178580742e-07
24,26,2.1824640733525413e-08,-3.2491427571959085e-05,-8.895736543249236e-08
25,26,2.1824640733525413e-08,-5.424648752438258e-06,-9.191112236864704e-09
